lockitver|DO NOT DELETE THIS LINE! 2698
dlga_start:lord_prison_break_confirm_3|Há uma mudança de plano?
dlga_start:lord_prison_break|O que está acontecendo?
dlga_start:drunk_response|O que você está olhando?
dlga_start:close_window.1|Você olha pra mim?
dlga_player_duel_response:close_window|Que desperdício ...
dlga_player_duel_response:close_window.1| Antes ele do que comigo.
dlga_drunk_response:drunk_fight_start|Eu não sei ... Um animal, provavelmente.
dlga_drunk_response:drunk_fight_start.1|Por favor, aceite minhas desculpas.
dlga_drunk_fight_start:close_window|Vou remover esse sorriso em seu rosto!
dlga_drunk_response:drunk_player_high_renown|Você sabe quem eu sou?
dlga_drunk_player_high_renown:drunk_player_high_renown|hmmm ... Na verdade ... Sim, sim, eu sei que você é {Senhor/Senhora}. Peço desculpas, Sua graça ... Deve ser o álcool. Eu tenho que ir agora ...
dlga_drunk_player_high_renown:drunk_fight_start|Bem, se você quer brigar, vai lutar!
dlga_drunk_player_high_renown:close_window|Eu estava pensando a mesma coisa. Agora vá embora.
dlga_start:fistfight_response|Você me faz sentir como uma pessoa forte e eu tenho uma sugestão a fazer.
dlga_fistfight_response:fistfight_response_2|Como?
dlga_fistfight_response_2:fistfight_response_2a|Você está interessado, ele é perfeito. Esse é o plano ... É um pouco complicado ... Então escute.
dlga_fistfight_response_2a:fistfight_response_3|Você ea outra pessoa vai começar uma briga aqui. Sem armas, sem armadura ... eu vou sentar aqui e tomar Paris, depois que eu vou compartilhar os lucros com o vencedor. Se perdermos, vou assumir os custos. Você não tem nada a perder ... Se isto é um pouco de sangue, é claro.
dlga_fistfight_response_3:fistfight_response_4|Dito isto, é impossível preparar uma arena agradável, onde ninguém pode apostar com antecedência. As pessoas virão, atraídos pelo barulho, vai construir um ou dois pence em quem eles acham que vai ganhar. Vou vê-las as mesmas oportunidades ... continua a ser difícil para alguém que está em seu terceiro jarro de cerveja.
dlga_fistfight_response_4:fistfight_response_4a|Bem, como vocês podem ver, o importante é agir como se você perdeu a aposta contra o povo ... Então você voltar para o combater e vencer as apostas antes do 's reversa. A melhor maneira de ganhar dinheiro é para mostrar-lhe quase ao chão, em seguida, arrumar e colocar a sua atenção adversário KO Mas, afinal, é você que vai ganhar por você e eu posso tocar pacote.
dlga_fistfight_response_4a:fistfight_response_5|Também tenha certeza de não mais levar a luta onde as pessoas pudessem mostrar suspeitas. Então não poupar seus golpes. Não importa o que vem, o sangue deve fluir.
dlga_fistfight_response_5:fistfight_response_5a|E outra coisa ... A complexidade não é o caso do seu oponente e ele vai cair sobre você. É da sua responsabilidade de colocar pimenta em tudo.
dlga_fistfight_response_5a:fistfight_response_confirm|Então, o que você diria?
dlga_fistfight_response_confirm:close_window|[Sim -- ainda não implementado]
dlga_fistfight_response_confirm:close_window.1|Eu tenho coisas melhores para fazer.
dlga_start:ramun_introduce_1|Saudações, {rapaz/moça}.
dlga_ramun_introduce_1:ramun_introduce_2|Desculpe-me, você parece ser um comerciante, mas não vejo nenhum de seus bens.
dlga_ramun_introduce_1:close_window|Não preste atenção.
dlga_ramun_introduce_2:ramun_introduce_3|Um comerciante? Oh, sim, eu sou um curso. No entanto, meus produtos são um pouco diferentes dos outros. Eles devem ser alimentados e lavadas duas vezes por dia e tentar escapar, se você virar as costas.
dlga_ramun_introduce_3:ramun_introduce_4|Gado?
dlga_ramun_introduce_4:ramun_introduce_5|Em quase exatamente. Agradeço que me considero um homem que mantém todos os barcos no mar em movimento. Os barcos são chefiadas por remos, pás e exigem que você vê os homens a lidar com eles se eles param. É onde eu venho polegadas
dlga_ramun_introduce_5:ramun_introduce_6|Os escravos cozinha.
dlga_ramun_introduce_6:ramun_introduce_7|Você tem entrado agora! Um porto de comércio, pois não poderiam sobreviver sem eles. Durante cada viagem, o barco perdeu alguns homens, e há sempre uma grande demanda. Os capitães vêm a mim e eles pagam-me bem.
dlga_ramun_introduce_7:ramun_introduce_8|Onde estão os seus escravos?
