lockitver|DO NOT DELETE THIS LINE! 2698
mno_go_back|Voltar.
menu_start_game_3|Escolha o seu cenário:
menu_tutorial|Está se aproximando de um espaço onde treinar com armas indígenas. Aqui você pode treinar para melhorar suas técnicas de combate.
mno_go_back_dot|Voltar.
menu_reports|Fama Personagem: {reg5}^Honra: {reg6}^Moral do Grupamento: {reg8}^Limite o tamanho do grupo: {reg7}^
mno_view_character_report|Verificar o estado do PNJ.
mno_view_party_size_report|Ver o relatório sobre o tamanho do grupamento.
mno_view_npc_mission_report|Ver relatório da missão da companhia.
mno_view_weekly_budget_report|Ver relatório de orçamento semanal.
mno_view_morale_report|Ver o relatório sobre o moral do grupamento.
mno_courtship_relations|Ver relacionamentos românticos.
mno_view_faction_relations_report|Ver o relatório sobre a relação da facção.
mno_resume_travelling|Resumo da viagem.
menu_custom_battle_end|A batalha está terminada. {s1} foram mortos {reg5} inimigo(s) ao seu lado e perdeu{reg6} tropa(s) durante a batalha. Você, pessoalmente, matou {reg7} homen(s) durante a batalha.
mno_start_male|Homem
mno_start_female|Mulher
menu_start_character_1|Você nasceu (e) anos atrás, em um país distante. Seu pai era ...
mno_start_noble|Um nobre empobrecido.
mno_start_merchant|Um comerciante ambulante.
mno_start_guard|Um soldado veterano.
mno_start_forester|Um caçador.
mno_start_nomad|Um nômade do deserto.
mno_start_thief|Um ladrão.
menu_start_character_2|{s10}^^ Você já começaram a descobrir o mundo logo após ele poderia andar e falar. No início de sua vida que você estivesse ...
mno_page|Na corte de um nobre
mno_apprentice|{reg3?Aprendiz:Aprendiz} de um artesão.
mno_stockboy|Assistente{reg3?(e):} de um comerciante.
mno_urchin|{reg3?Uma menina:Um menino} de rua.
mno_nomad|Uma criança nômade no deserto.
menu_start_character_3|{s11}^^ Então, jovem adulto, sua vida seguiu seu curso normal. Você se tornou (e) ...
mno_squire|Um escudeiro
mno_lady|Uma dama de honra
mno_troubadour|{reg3?Um músico ambulante:Um trovador}.
mno_student|{reg3?Uma estudante:Um estudante} da Universidade.
mno_peddler|{reg3?Uma Vendora ambulante:Um Vendor ambulante}.
mno_craftsman|{reg3?Um ferreira:Um ferreiro}.
mno_poacher|{reg3?Uma caçadora:Um caçador}.
menu_start_character_4|{s12}^^Mas logo tudo mudou e você decidiu tentar a sua sorte como um aventureiro. O que levou você a tomar essa decisão foi ...
mno_revenge|Vingança.
mno_death|A perda de um ente querido.
mno_wanderlust|O apelo de aventura.
mno_disown|Sendo a caçado{reg3?e:} em sua casa.
mno_greed|A sede por dinheiro e poder.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Você estabelece um acampamento. O que você faz?
mno_camp_action|fazer uma ação.
mno_camp_wait_here|Espere aqui por um tempo.
mno_camp_cheat|MENU cheats!
menu_camp_cheat|Selecione uma fraude:
mno_camp_cheat_find_item|Alterar tempo.
menu_camp_action|Escolha uma ação:
mno_camp_recruit_prisoners|Recrutar soldados entre os seus prisioneiros.
mno_action_read_book|Escolha um livro para ler.
mno_action_retire|Cessantes aventureiro.
mno_camp_action_4|Voltar ao menu Camp.
menu_camp_recruit_prisoners|Você dá sua liberdade aos prisioneiros se eles concordam em acompanhá-los como soldados. {s18}
mno_camp_recruit_prisoners_accept|Aceitar.
mno_camp_recruit_prisoners_reject|Rejeitar.
menu_camp_no_prisoners|Você não tem prisioneiro para recrutar.
menu_camp_action_read_book|Escolha um livro para ler:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|Você está no jogo a {reg0} dia(s). Sua chance é agora {reg1}. Você tem certeza (e) quer se aposentar?
mno_retire_yes|Sim.
mno_retire_no|Não.
menu_end_game|Sua decisão está tomada e você tiver resolvido (e) para deixar sua vida de aventura e guardá-la. Você vende suas armas e armaduras, você recolher todo o dinheiro e andar no sol ...
mno_end_game_bye|À Deus
menu_cattle_herd|você cruzar o caminho de um rebanho de gado
mno_cattle_drive_away|Liderando o gado ao seu destino.
mno_cattle_stop|Pare o rebanho.
mno_cattle_kill|Abater alguns dos animais.
mno_leave|Noite
menu_cattle_herd_kill|Quantos animais você aquer abater?
mno_cattle_kill_1|Um.
mno_cattle_kill_2|Dois.
mno_cattle_kill_3|Três.
mno_cattle_kill_4|Quatro.
mno_cattle_kill_5|Cinco.
menu_arena_duel_fight|Seu oponente, e você estam se preparando para um duelo.
menu_simple_encounter|{s2} Você {reg10} soldado (s) que estão lutando contra o soldado {reg11} soldado(s) enimigos.
mno_encounter_attack|Ataque de encontro
mno_encounter_order_attack|Dar ordens a seus soldados para atacar sem você.
mno_encounter_leave|Sair
mno_encounter_retreat|Retirar. Deixar alguns soldados para cobrir a retirada.
mno_encounter_surrender|Se render.
menu_encounter_retreat_confirm|Como um membro do grupo com o maior nível de competência Táticas ({reg2}), {reg3?Você projeta :{s3} desenha} um plano que irá permitir que você e seus homens, você escapar ileso, mas você tem que deixar ir {reg4} soldados para impedir que o inimigo atrás de você.
mno_leave_behind|Continuar. O sacrifício desses homens salvar os outros.
mno_dont_leave_behind|Não. Nós não vamos abandonar ninguém.
menu_encounter_retreat|Você pedi a {reg4} de seus homens para resistir ao inimigo, enquanto você bater em retirada com o resto do grupo.
menu_order_attack_begin|Seus soldados estão se preparando para atacar o inimigo.
mno_order_attack_begin|Dar a ordem de lançamento do ataque.
mno_call_back|Recordar
menu_order_attack_2|{s4}^^Suas perdas: {s8}^^Perdas do inimigo: {s9}
mno_order_attack_continue| Dar seus soldados para continuar o ataque.
mno_order_retreat|Esqueceu-se de seus soldados.
menu_battle_debrief|{s11}^^Suas perdas: {s8}{s10}^^Perdas do inimigo: {s9}
menu_total_victory|Você não deveria ler isto ... {s9}
menu_enemy_slipped_away|{s17}
menu_total_defeat|Você não deveria ler isto ...
menu_permanent_damage|{s0}
mno_s0|{s0}
menu_pre_join|VVocê está no meio de uma batalha entre {s2} e {s1}. Você decide ...
mno_pre_join_help_attackers|Você se mobiliza para ajudar a {s2}.
mno_pre_join_help_defenders|Concorra a ajuda {s1}.
mno_pre_join_leave|Não se envolver.
menu_join_battle|Você ajuda {s2} a enfrentar. {s1}. Você tem {reg10} ssoldado (s) que estão lutando contra {reg11} soldadost(s) inimigos. 
mno_join_attack|começar Ataque.
mno_join_order_attack|Dar ordens a seus soldados para atacar com seus aliados, enquanto você ficar para trás.
mno_join_leave|Deixar área.
menu_join_order_attack|{s4}^^Suas perdas: {s8}^^Perdas dos aliados: {s9}^^Perdas dos inimigos: {s10}
menu_zendar|Você entrou na aldeia de Zendar.
mno_zendar_enter| 
mno_zendar_enter_door|Ir Para o centro da cidade.
mno_zendar_tavern| 
mno_zendar_tavern_door|Ir a taverna.
mno_zendar_merchant| 
mno_zendar_merchant_door|Ir ao comerciante.
mno_zendar_arena| 
mno_zendar_arena_door|Ir na Arena.
mno_town_1_leave| 
