lockitver|DO NOT DELETE THIS LINE! 2698
str_no_string|NENHUMA CADEIA!
str_empty_string| 
str_yes|Sim.
str_no|Não.
str_blank_string| 
str_noone|não
str_s50_and_s51|{s50} e {s51}
str_s52_and_s51|{s52} e {s51}
str_s5_s_party|Armado de {s5}
str_given_by_s1_at_s2|Dado por {s1} para {s2}
str_given_by_s1_in_wilderness|Dado por {s1} enquanto ele/isto está na terra 
str_s7_raiders|{s7} os saqueadores
str_bandits_eliminated_by_another|Os bandidos aborrecidos foram eliminados por outro grupo.
str_msg_battle_won|Vitória! Empurre na chave de Aba para partir...
str_tutorial_map1|Você está atualmente no cartão do mundo. Faça uns esquerdos clicar em deslocar seu grupo para este lugar do cartão, entrar no município selecionado ou procurar o grupo selecionado. O tempo deixará de fluir fora no cartão terrestre se seu grupo não mover, não espera ou não leva um resto. Para deixar o tempo fluir fora em qualquer lugar, você pode manter a vara de espaço somente dirigida. 
str_charge|Carga
str_color|Cor
str_flip_horizontal|Cadeira de balanço horizontal
str_flip_vertical|Cadeira de balanço vertical
str_hold_fire|Deixar fogo
str_blunt_hold_fire|Cego/Deixar fogo
str_tutorial_ammo_refilled|Munições recarregaram.
str_tutorial_failed|Você foi derrotado, mas você não preocupa. Siga as ordens atentamente e você fará o da próxima vez melhor. Empurre na chave de Aba para voltar ao cardápio onde você pode escolher começar este software educacional novamente.
str_finished|(Terminado)
str_delivered_damage|{reg60} causou indenizações.
str_archery_target_hit|Distância: {reg61} metros. Contagem: {reg60}
str_use_baggage_for_inventory|Use seu tronco para alcançar seu inventário durante a batalha (ela/isto está em sua posição de partida)
str_cant_use_inventory_now|Impossível alcançar o inventário no momento.
str_cant_use_inventory_arena|Impossível alcançar o inventário na arena.
str_cant_use_inventory_disguised|Impossível alcançar o inventário quando você é disfarçado.
str_cant_use_inventory_tutorial|Impossível alcançar o inventário no acampamento de prática.
str_1_denar|1 negador
str_reg1_denars|{reg1} os negadores
str_january_reg1_reg2|{reg1} janeiro {reg2}
str_february_reg1_reg2|{reg1} fevereiro {reg2}
str_march_reg1_reg2|{reg1} março {reg2}
str_april_reg1_reg2|{reg1} abril {reg2}
str_may_reg1_reg2|{reg1} maio {reg2}
str_june_reg1_reg2|{reg1} junho {reg2}
str_july_reg1_reg2|{reg1} julho {reg2}
str_august_reg1_reg2|{reg1} agosto {reg2}
str_september_reg1_reg2|{reg1} setembro {reg2}
str_october_reg1_reg2|{reg1} outubro {reg2}
str_november_reg1_reg2|{reg1} novembro {reg2}
str_december_reg1_reg2|{reg1} dezembro {reg2}
str_town_nighttime|Ele/isto está à noite atrasado e as pessoas honestas abandonaram as ruas.
str_door_locked|A porta está fechada.
str_castle_is_abondened|O castelo parece estar abandonado.
str_town_is_abondened|O município não tem guarnição para se proteger.
str_place_is_occupied_by_player|O lugar está ocupado por nossas próprias tropas.
str_place_is_occupied_by_enemy|O lugar está ocupado através de tropas hostis.
str_place_is_occupied_by_friendly|O lugar está ocupado por tropas aliadas.
str_do_you_want_to_retreat|Você vai querer que você dobre?
str_give_up_fight|Abandonar a luta?
str_do_you_wish_to_leave_tutorial|Você deseja deixar o tutorial?
str_do_you_wish_to_surrender|Você deseja o devolver?
str_can_not_retreat|Impossível dobrar atrás, há alguns inimigos perto de!
str_s1_joined_battle_enemy|{s1} uniu o inimigo na batalha.
str_s1_joined_battle_friend|{s1} o uniu na batalha.
str_entrance_to_town_forbidden|Os guardas do município são ao olhar-exterior dos intrusos e ele/isto parece que você não poderá clarear as portas sem atravanca.
str_sneaking_to_town_impossible|São alertados os guardas do município. Você não poderá clarear esta porta sem fazer marca você, não importa o tipo de disfarce que você usa.
str_battle_won|Você ganhou a batalha!
str_battle_lost|Você perdeu a batalha!
str_attack_walls_success|Ao termo de uma briga sangrenta, seus soldados valentes têm sucesso retomando as ameias dos inimigos.
str_attack_walls_failure|Seus soldados sucumbem, ondule depois de onda, no ataque das ameias e os poucos sobreviventes disperse eles e corra fora depressa, para sempre voltar.
str_attack_walls_continue|Uma batalha sangrenta segue em qual a dois briga de acampamentos para igualar armas. Apesar dos esforços de suas tropas, o castelo permaneceu entre as mãos do inimigo.
str_order_attack_success|Seus homens lutam valentemente e triunfo do inimigo.
str_order_attack_failure|Você assiste com batalhas de desespero isto durante o qual os inimigos trazem seus soldados abaixe e expila os poucos sobreviventes então em estado lastimável.
str_order_attack_continue|Apesar de uma escaramuça prolongada, suas tropas não puderam ganhar uma vitória decisiva.
str_join_order_attack_success|Seus homens lutam eficazmente aos lados de seus aliados, aquela parte a glória causada pela derrota de seus inimigos.
str_join_order_attack_failure|Você assiste com batalhas de desespero isto no qual os inimigos trazem seus soldados abaixe e expila os poucos sobreviventes então em estado lastimável.
str_join_order_attack_continue|Apesar de uma escaramuça prolongada, suas tropas nem esses de seus aliados puderam ganhar uma vitória decisiva no inimigo.
str_siege_defender_order_attack_success|Os homens da guarnição defendem as ameias deles/delas com destreza e coragem, enquanto acabando com a agressão do inimigo e transformando a derrota habilmente em uma derrota crescida.
str_siege_defender_order_attack_failure|A agressão se transforma depressa em banho de sangue. Os ímpetos de coragem não têm sucesso a nada; a guarnição ultrapassada não pode defender as ameias e o inimigo passa todo último defensor com o transcurso da espada.
str_siege_defender_order_attack_continue|Tentar ataques assassinos a repetição nas ameias pára o atacante de ganhar a terra, porém muitos muitos inimigos permanecem em defesa poder fingir a uma verdadeira vitória.
str_hero_taken_prisoner|{s1} de {s3} foi o prisioneiro feito por {s2}.
str_hero_freed|{s1} de {s3} foi livrado de seu cativeiro por {s2}.
str_center_captured|{s2} levou {s1} de {s3}.
str_troop_relation_increased|Suas relações com {s1} aprimorado enquanto passando de {reg1} para {reg2}.
str_troop_relation_detoriated|Suas relações com {s1} deteriorou enquanto passando de {reg1} para {reg2}.
str_faction_relation_increased|Suas relações com {s1} aprimorado enquanto passando de {reg1} para {reg2}.
str_faction_relation_detoriated|Suas relações com {s1} deteriorou enquanto passando de {reg1} para {reg2}.
str_party_gained_morale|Seu grupo ganha {reg1} em estado de mente.
str_party_lost_morale|Seu grupo perde {reg1} em estado de mente.
str_other_party_gained_morale|{s1} ganha {reg1} em estado de mente.
str_other_party_lost_morale|{s1} perde {reg1} em estado de mente.
str_qst_follow_spy_noticed_you|O espião o marcou! Ele/isto tenta para correr fora!
str_father|pai
str_husband|marido
str_wife|esposa
str_daughter|menina
str_mother|mãe
str_son|filho
str_brother|irmão
str_sister|s.ur
str_he|ele
str_she|o dela
str_s3s_s2|{s2} de {s3}.
str_s5_is_s51|{s5} é {s51}.
str_s5_is_the_ruler_of_s51|{s5} é o regente de {s51}.
str_s5_is_a_nobleman_of_s6|{s5} é um nobre de {s6}.
str_relation_mnus_100|Repugnante
str_relation_mnus_90|Repugnante
str_relation_mnus_80|Repugnante
str_relation_mnus_70|Aversives
str_relation_mnus_60|Aversives
str_relation_mnus_50|Hostil
str_relation_mnus_40|Briguento
str_relation_mnus_30|Malévolo
str_relation_mnus_20|Tempo
str_relation_mnus_10|Mitigado
str_relation_plus_0|Neutro
str_relation_plus_10|Cooperativas
str_relation_plus_20|Bem-vindo
str_relation_plus_30|Favorável
str_relation_plus_40|Sincero
str_relation_plus_50|Amigável
str_relation_plus_60|Entendendo
str_relation_plus_70|Excelente
str_relation_plus_80|Ideal
str_relation_plus_90|Excepcional
str_relation_mnus_100_ns|{s60} mantém com você das relações repugnantes.
str_relation_mnus_90_ns|{s60} mantém com você das relações repugnantes.
str_relation_mnus_80_ns|{s60} mantém com você das relações repugnantes.
str_relation_mnus_70_ns|{s60} mantém com você do aversives de relações.
str_relation_mnus_60_ns|{s60} mantém com você do aversives de relações.
str_relation_mnus_50_ns|{s60} mantém com você das relações hostis.
str_relation_mnus_40_ns|{s60} mantém com você das relações briguentas.
str_relation_mnus_30_ns|{s60} mantém com você das relações malévolas.
str_relation_mnus_20_ns|{s60} mantém com você das relações tensas.
str_relation_mnus_10_ns|{s60} mantém com você das relações mitigadas.
str_relation_plus_0_ns|{s60} mantém com você das relações neutras.
str_relation_plus_10_ns|{s60} mantém com você das relações cooperativas.
str_relation_plus_20_ns|{s60} mantém com você das relações de boas-vindas
str_relation_plus_30_ns|{s60} mantém com você das relações favoráveis.
str_relation_plus_40_ns|{s60} mantém com você das relações sinceras.
str_relation_plus_50_ns|{s60} mantém com você das relações amigáveis.
str_relation_plus_60_ns|{s60} mantém com você das relações compreensivas.
str_relation_plus_70_ns|{s60} mantém com você das relações excelentes.
str_relation_plus_80_ns|{s60} mantém com você das relações ideais.
str_relation_plus_90_ns|{s60} mantém com você das relações excepcionais.
str_relation_reg1|Relação: {reg1}
str_center_relation_mnus_100|Os votos de pessoas você um ódio extremo
str_center_relation_mnus_90|Os votos de pessoas você um intenso ódio
str_center_relation_mnus_80|Os votos de pessoas você um ódio feroz
str_center_relation_mnus_70|As pessoas o odeiam
str_center_relation_mnus_60|As pessoas mantêm com você do aversives de relações
str_center_relation_mnus_50|As pessoas mantêm com você de relações extremamente hostis
str_center_relation_mnus_40|As pessoas mantêm com você das relações muito hostis
str_center_relation_mnus_30|As pessoas são hostis a sua consideração
str_center_relation_mnus_20|As pessoas estão contra você
str_center_relation_mnus_10|As pessoas o opõem
str_center_relation_plus_0|As pessoas são neutras a sua consideração
str_center_relation_plus_10|As pessoas são tolerantes a sua consideração
str_center_relation_plus_20|As pessoas são cooperativas com você
str_center_relation_plus_30|As pessoas mantêm com você do cordial bastante relações
str_center_relation_plus_40|As pessoas mantêm com você das relações sinceras
str_center_relation_plus_50|As pessoas mantêm com você das relações muito sinceras
str_center_relation_plus_60|As pessoas são fiéis para você
str_center_relation_plus_70|As pessoas são extremamente fiéis para você
str_center_relation_plus_80|As pessoas mantêm com você das relações excepcionais
str_center_relation_plus_90|A populaça mantém totalmente com você das relações excepcional
str_town_prosperity_0|A pobreza do município de {s60} é insuportável.
str_town_prosperity_10|O município esquálido de {s60} é toda a caixa forte anime.
str_town_prosperity_20|O município de {s60} parece ser um miserável e lugar de deserto.
str_town_prosperity_30|O município de {s60} parece pobre e deixa negligenciado.
str_town_prosperity_40|O município de {s60} parece em dificuldade.
str_town_prosperity_50|O município de {s60} parece claro.
str_town_prosperity_60|O município de {s60} parece próspero.
str_town_prosperity_70|O município próspero de {s60} enxames de atividade.
str_town_prosperity_80|O município de {s60} parece rico e muito mantido.
str_town_prosperity_90|O município de {s60} é rico, tudo como seus habitantes.
str_town_prosperity_100|O município esplêndido de {s60} exibições sua riqueza grande publicamente.
str_village_prosperity_0|A pobreza da aldeia de {s60} é intolerável.
str_village_prosperity_10|A aldeia de {s60} parece pobre e miserável cruelmente.
str_village_prosperity_20|A aldeia de {s60} parece muito pobre e deserto..
