lockitver|DO NOT DELETE THIS LINE! 2698
ip_morale|Moral
ip_morale_text|Moral representa a capacidade e a vontade de tropas para grupo braço de coragem, resistência e disciplina necessária para superar as dificuldades da batalha e da marcha. Não é o mesmo que felicidade da tropa. Tropas de elite podem reclamar e protestar contra a dificuldade da campanha, mas quando as setas começar a voar sobre suas cabeças, enfrentam o bloco inimigo. Por outro lado, se um comandante sempre dá seus homens o que eles pedem, você vai achar que suas tropas tornam-se fracos e mais propensos a fugir antes que o inimigo. ^^ moral influencia diretamente o comportamento das tropas no campo de batalha e determinado quão agressivo eles estão com o inimigo e as chances de fugir se eles percebem que a batalha está se voltando contra ele. Moral também afeta a velocidade. Um grupo menos motivados irá mover mais lentamente porque os homens não estão se esforçando. Você também precisa parar mais vezes para esperar os retardatários. Finalmente, um grupo com o moral baixo vai começar a sofrer deserções. ^^ Alguns fatores que afetam o moral são intuitivos. Por exemplo, um comandante carismático com uma reputação para ganhar batalhas incutir confiança em seus homens. Líderes que dão a seus homens uma grande variedade de alimentos e pagam a tempo demonstram preocupação com o bem-estar de suas tropas e são menos propensos a levá-los um desastre. ^^ Outros fatores são menos intuitivo, particularmente aqueles relacionados à sensação de coesão do grupo. Em um pequeno grupo, por exemplo, os homens irão lutar mais ferozmente em situações complicadas para impedir seus companheiros vê-los como covardes. Um grupo maior, no entanto, terá mais problemas de coesão, como o comandante terá menos tempo para supervisionar seus homens, ouvir seus problemas e resolver seus litígios. batalhas frequentes estreitarão laços entre os homens, enquanto longos períodos sem batalhas vai ficar entediado e problemas de coexistência são criados. ^^ O relatório moral, que é acessado pressionando o botão 'Report', dar ao jogador uma idéia dos fatores que estão afetando o moral de seu grupo.
ip_economy|Economia
ip_economy_text|Cidades e aldeias de Calradia precisa de uma grande variedade de produtos para a sua população permanece saudável e produtiva. A primeira é a comida. Os cereais são a base para a produção de Calradia, mas as pessoas também precisam de gordura e proteína, quer sob a forma de peixe, carne ou queijo. Prepare custos corned beef quase tanto esforço para obtê-lo, e por isso há muita demanda para sal. Em seguida, vem a roupa: lã grossa, de linho ou de luz delicado veludo. Finalmente, é necessário que as pessoas tenham ferramentas para trabalhar. Utensílios de ferro, cerâmica, artigos de couro e, claro, armas, armaduras e cavalos para a maioria dos produtos agrícolas guerra ^^ são gerados em aldeias, enquanto os artesãos das cidades tecidos ou objetos feitos de ferro e cerâmica. Além disso, os recursos diferem de região para região. Consequentemente, a chave para a prosperidade é o comércio Calradia entre as cidades e aldeias, ou entre as cidades mais prósperas. ^^ Quando o comércio é fluido, os bens estão disponíveis a um bom preço, a população vai ser saudável e energizado, e chegar migrantes de regiões próximas. O centro irá produzir mais, consumir mais, e contribuir mais impostos para os cofres de seus mestres. Quando o comércio não está fluindo como deveria, cidades e aldeias perderá trabalhadores e abrandamento da actividade económica vai. Portanto, é importante para os senhores proteger rotas de comércio dos perigos da guerra e bandidos. Um comerciante inteligente, no entanto, pode procurar cidades que permaneceram isolados do resto do território como poderia fazer um lucro com o desequilíbrio de preços. ^^ Como os moradores sempre levar seus produtos para vender nos mercados da cidade, os mercados da vila são geralmente lugares calmos e aldeões comprar barato e vender caro. comerciantes sérios permanecerá nas cidades para obter mais lucro, mesmo que algumas pessoas decidem fazer uma parada rápida em uma vila para comprar suprimentos. ^^ Um jogador que quer saber os fatores que afetam a prosperidade da região pode sempre falar com o mestre da irmandade da cidade local. Pessoas aliás também fornecer algumas informações, mas você pode não saber muito fora de sua linha particular de negócios.
ip_courtship|Relacionamentos românticos
ip_courtship_text|Los jugadores podrán casarse con algún miembro de una familia noble de Calradia. No es necesario estar casado para ganar poder o estatus, pero el casamiento proporciona al jugador la oportunidad de mejorar su relación con los señores y consolidar sus derechos al trono.^^Los requerimientos para casarse son diferentes dependiendo de si el jugador es hombre o mujer. Un personaje hombre tendrá que cortejar a una dama de forma tradicional. Deberá establecer su reputación en la sociedad aristocrática de Calradia, mantener buenas relaciones con la familia o tutores de su prometida, y luego cortejarla según la costumbre local. Si el jugador se impacienta puede intentar acortar el proceso, pero esto acarreará consecuencias en sus relaciones con los otros señores.^^Un personaje hombre deberá tener en cuenta que otros señores pueden estar compitiendo por el afecto de la misma dama. Además, los gustos de las damas son impredecibles y el jugador también puede encontrarse con que el objeto de su afecto no le corresponde. El romance, en Calradia al igual que en cualquier sitio, no siempre prospera. Cierto es que un jugador siempre podrá recurrir a vías menos caballerosas para capturar el corazón de una dama pero, una vez más, eso afectará seriamente a su reputación.^^Para comenzar un cortejo, el jugador hombre deberá introducirse en la vida social de la aristocracia de Calradia, acudiendo a banquetes y torneos. También los trovadores y poetas pueden servirle para obtener información sobre las formas de cortejo e informarle de los últimos rumores.^^Las jugadoras mujeres también pueden casarse, pero deberán tener en cuenta que la sociedad en Calradia es muy tradicional y, como aventureras, han elegido un camino muy poco convencional para una mujer. Un personaje femenino puede tardar en encontrar a un señor de mente suficientemente abierta para casarse con ella.^^El lado bueno, sin embargo, es que una mujer no tendrá que pasar por largos rituales de cortejo, y puede beneficiarse más del casamiento que su homólogo varón. Para una aventurera, casarse puede significar emprender el camino rápido hacia el poder... y una mujer sin escrúpulos podría utilizar a su marido para avanzar en sus ambiciones políticas.
ip_politics|Política
ip_politics_text|Embora os reinos da Calradia representam culturas diferentes, todos aderir ao mesmo sistema político básico: feudalismo. Feudalismo é baseado em relações individuais: juramentos de lealdade de um vassalo ao seu senhor feudal. Em troca do juramento, o vassalo normalmente irá receber um feudo, um lote de terra a ser pagas a ele e cuja renda pode criar um exército para apoiar o seu mestre em tempo de guerra. Um senhor feudal também tem o dever de proteger seus súditos e tratá-los de forma justa. ^^ Aqui é assim que funciona, pelo menos em teoria. Na prática, os vassalos nem sempre funcionam em favor de sua facção, especialmente porque eles são muitas vezes em desacordo uns com os outros. Os nobres têm personalidades diferentes, e muitas vezes encontrados. Talvez dois nobres que foram amigos estão agora confrontados antes porque o resultado de uma batalha ... ou porque ambos estavam cortejando a mesma mulher. Envies também surgir em sua busca para o favor do rei, talvez para aproveitar as terras recém-conquistadas, ou para obter a posição de quarterback (nobre encarregado de organizar em larga escala campanhas militares) ^^. Quando um reino de Calradia vai para a guerra com o outro, a unidade política de cada reino é tão importante quanto a qualidade ou o número de seus soldados na determinação do resultado. Em um reino coesa, os nobres lutar juntos contra as forças inimigas. Em um país dividido por rixas reino, os senhores não vai responder a chamadas para o seu quarterback, ou deixar a campanha para enfrentar os seus próprios assuntos, se não é certo. coesão política de uma facção também influenciam o progresso da guerra, mesmo se há campanhas em curso. Em uma facção de divisão, é improvável para se juntar senhores para repelir incursões ou organizar ataques, ou para se defender do outro. ^^ Por mais absurdo que possa parecer que os senhores brigando entre eles como as cruzes inimigas e fronteiras, deve ser levado em conta: a lealdade absoluta de um nobre não é para qualquer facção ou cultura, mas para si e sua família. Se um nobre temores de que sua facção está caindo, ou se sentem negligenciados por seu senhor feudal, não terá problemas para encontrar uma razão que lhe permite renunciar ao seu juramento de fidelidade e mudar de lado. Os jogadores devem ter isso em mente como eles terão muitas oportunidades para ganhar aliados do ex-inimigos.
ip_character_backgrounds|Histórias dos personagens
ip_character_backgrounds_text|Os jogadores podem escolher sua origem entre muitas correntes sociais de Calradia. Esta escolha irá afectar não só as suas habilidades e equipamentos no início do jogo, mas também o curso de sua carreira como um aventureiro ou aventureira. ^^ política da Guerra e Calradia são dominadas principalmente pelos aristocratas do sexo masculino. Um jogador nobre vai ver que seus pares irá convidar rapidamente para "entrar para o clube", mas as mulheres e plebeus tem que lutar um pouco mais. Comece o jogo como um homem nobre equivaleria a ajustar a dificuldade 'fácil'. Comece o jogo como um nobre ou um plebeu é mais difícil, e jogar mulher como plebeu é possivelmente a forma mais complicada de todas. ^^ No entanto, as mulheres têm algumas vantagens começando. Com apenas um guerreiro pegar em armas e chamar a atenção, e você pode verificar a sua reputação cresce mais rápido do que um homem. Além disso, tradicionalmente, é mais fácil para uma mulher para casar acima de suas expectativas e, em qualquer caso, vai ganhar muito mais com essa contraparte masculina casamento estratégico. ^^ Finalmente, note que o jogo não limitar o aumento dos caracteres de acordo com sua origem. Se nobre ou plebeu, homem ou mulher, casado ou solteiro, qualquer um pode tornar-se monarca do Calradia se você tiver a coragem, sorte ou ingenuidade suficiente.
