lockitver|DO NOT DELETE THIS LINE! 2698
pt_none|Nenhum
pt_rescued_prisoners|Prisioneiros resgatado
pt_enemy|Inimigo
pt_hero_party|Heróis do Grupamento
pt_village_defenders|Defensores da aldeia
pt_cattle_herd|Cabeças de gado
pt_looters|Saqueadores
pt_manhunters|Caçadores
pt_steppe_bandits|Banditos de Estepe
pt_forest_bandits|Bandidos da Floresta
pt_mountain_bandits|Bandidos da Montanha
pt_sea_raiders|Cosário dos mares
pt_deserters|Desertores
pt_merchant_caravan|Caravana de Revendedores
pt_troublesome_bandits|Bandidos chatos
pt_bandits_awaiting_ransom|Bandidos à espera de um resgate
pt_kidnapped_girl|Menina seqüestrada
pt_village_farmers|Agricultores da Aldeia
pt_spy_partners|Espiões Parceiros
pt_runaway_serfs|Servos fugitivos
pt_spy|Espião
pt_sacrificed_messenger|Menssageiros sacrificados
pt_forager_party|petroleiro do Grupamento
pt_scout_party|Escuta do Grupamento
pt_patrol_party|Patrulha do Grupamento
pt_messenger_party|Mensageiro do Grupamento
pt_raider_party|Corsário do Grupamento
pt_raider_captives|Corsários prisioneiros
pt_kingdom_caravan_party|Caravana do Reino
pt_prisoner_train_party|Escolta de presos do Grupamento
pt_default_prisoners|Desfazer-se dos Prisioneiro
pt_routed_warriors|Inimigos Derrotados
pt_center_reinforcements|Reforços
pt_kingdom_hero_party|Grupamento de Heróis do Reino
