lockitver|DO NOT DELETE THIS LINE! 2698
qstr_Next_Page|Próxima Página
qstr_Continue...|Cantinuar...
qstr_Candidate_#1:_{s1}|Candidato #1 : {s1}
qstr_Candidate_#2:_{s1}|Candidato #2 : {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} de {s4} escolhe um novo marechal e convida seus vassalos para o conselho. {s1} e {s2} são potenciais candidatos.
qstr_Who_do_you_wish_to_s|Quem você gostaria de ajudar?
qstr_{s1}_gives_his_suppo|{s1} assiste a {s2}.
qstr_Number_of_Supporters|Número de seguidores: {reg0}
qstr_{s2}_has_heard_his_v|{s2} ignorou o conselho de seus vassalos. Nomeou {s1} Marechal de {s3}.
qstr_Action|Ação
qstr_Mount|Subir
qstr_Attack_Type|Tipo de ataque
qstr_Stand_Ground|defender suas posições
qstr_Charge|Carga
qstr_Follow_Me|Siga-me
qstr_Hold_This_Position|Segure esta posição
qstr_Spread_Out|Implantar
qstr_Stand_Closer|Fique mais próximo
qstr_Fall_Back|Voltar
qstr_Advance|Avance
qstr_Dismount|Desmontar
qstr_Fire_At_Will|Fogo a vontade
qstr_Hold_Your_Fire|Cessar Fogo
qstr_Use_Blunt_Weapons|Uso de armas de impacto
qstr_Use_Any_Weapon|Use suas armas
qstr_Ready|Pronto(s)
qstr_Wounded|Ferido(s)
qstr_Dead|Morto(s)
qstr_Number_of_men_knocke|Número de homens inconscientes: {reg1}
qstr_Number_of_men_left:_|Número de homens restantes: {reg1}
qstr_Opponents_Beaten:_{r|adversários derrotados: {reg1}
qstr_Opponents_Remaining:|Adversários restantes : {reg1}
qstr_Remain_in_retirement|Permanecer na aposentadoria
qstr_Go_back_to_the_adven|Voltar a aventura.
qstr_You_have_retired_at_|Você tem aposentado em {reg4} dias após {reg5} aventura.
qstr_Effect_on_Score|Efeito sobre a pontuação
qstr_Settlements_owned_by|Territórios em sua posse: {reg0}
qstr_Friendly_Settlements|Territórios Aliados: {reg0}
qstr_Hostile_Settlements:|Territórios hostis : {reg0}
qstr_Friendly_Lords:_{reg|Senhores Aliados: {reg0}
