lockitver|DO NOT DELETE THIS LINE! 2698
hint_1|Você pode ordenar os seus soldados para se deslocarem para um ponto, pressionando e mantendo pressionada a tecla F1.
hint_2|Os cavalos e os homens se movem mais lentamente no tempo chuvoso.
hint_3|Você pode esperar no mapa do mundo, mantendo pressionada a barra de espaço.
hint_4|Você pode recrutar novos homens para seu exército nas tavernas.
hint_5|Você pode dar ordens a seu exército durante a batalha.
hint_6|Um exército com a moral elevada se move mais rapidamente, enquanto viaja através do mapa.
hint_7|Os membros feridos do exército vão se curar mais rápido, enquanto descansam em tavernas.
hint_8|Para comprar e vender itens rapidamente na janela de inventário, pressione a tecla Control enquanto clica com o botão esquerdo do mouse.
hint_9|Você pode pressionar a tecla Backspace durante a batalha para acessar a interface de comando.
hint_10|Você vai pagar metade dos salários para suas tropas, enquanto você estiver hospedado em uma cidade ou castelo. Da mesma forma, você vai pagar metade do salário às tropas que forem mantidas como guarnição em um castelo.
hint_11|Você pode deixar qualquer local instantaneamente pressionando a tecla Tab.
hint_12|Você pode manter a tecla Shift pressionada para aumentar o zoom, enquanto observa inimigos à distância.
