lockitver|DO NOT DELETE THIS LINE! 2698
ui_music_volume|Volume da  Música:
ui_sound_volume|Volume de sons:
ui_mouse_sensitivity|Sensibilidade do Mouse:
ui_enabled|habilitado
ui_disabled|Fóruns
ui_reduced_to_1_over_4_easiest|Reduzida 1 / 4 (Muito Fácil)
ui_reduced_to_1_over_2_easy|Reduzida 1 / 2 (Fácil)
ui_reduced_to_1_over_2_easiest|Reduzida 1 / 2 (Muito Fácil)
ui_reduced_to_3_over_4_easy|Reduzida tem 3 / 4 (Fácil)
ui_normal|Normal
ui_combat_ai|Batalha Número:
ui_combat_speed|Velocidade de Luta:
ui_good|Bom
ui_average_caps|Media
ui_poor|Baixa
ui_faster|Rápido
ui_slower|Lento
ui_by_mouse_movement|Ao mover o mouse
ui_by_relative_enemy_position|Dependendo da POSIÇÃO do Inimigo
ui_by_inverse_mouse_movement|Inverter o Movimento do mouse
ui_difficulty_rating_percentage|Nível de Dificuldade = %d
ui_controls|Controles
ui_video_options|Opções de vídeo
ui_done|Confirmar
ui_factions|Facções
ui_item_itemname|Finalidade - %s
ui_prop_propname|Prop - %s
ui_unknown_unknownname|desconhecido - %s
ui_entry_point_entrypointname|Entrada Ponto %d
ui_passage_menu_item_passagename|Passagem (menu item %d)
ui_plant_plantname|Plante - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|O Arquivo de Exportação nº %s Já existe o personagem. Deseja substituir?
ui_yes|Sim
ui_no|Não
ui_set_save_file_name|Digite um nome para esse Backup:
ui_enter_new_name|Digite um novo nome:
ui_export_character|Exportar Personagem
ui_import_character|Importar um personagem
ui_character_playername_exported_successfully|Personagem %s foi exportado com sucesso.
ui_character_playername_imported_successfully|Personagem %s foi importado com êxito.
ui_unable_to_open_import_file|Impossível abrir o arquivo de importação.
ui_are_you_sure_you_want_to_import_the_character|Tem certeza que quer importar esse personagem?
ui_unable_to_find_character_import_file|Não é possível encontrar o arquivo para importar o personagem.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount & Blade está operando atualmente em sua versão trial. Por favor, comprar o jogo para importar um personagem.
ui_change_skin|pele
ui_change_hair|Cabelo
ui_change_hair_color|Cor do Cabelo
ui_change_beard|Barba
ui_tutorial|Tutorial
ui_tutorial_face_generator|Mude a cara de seu personagem usando os botões e o cursor. Para girar a cabeça, clique e arraste o mouse.
ui_cancel|Cancelar
ui_delete|Excluir
ui_confirm_delete_game|Tem certeza que quer apagar esta parte?
ui_error_removing_file|Erro ao apagar arquivo ...
ui_day_datedisplay|Dia %d (%d:%d%d)
ui_reset_changes|Desfazer
ui_weapon_proficiencies|Maestrias
ui_skills|Competências
ui_attributes|Atributos
ui_enter_name_here|* Digite seu nome aqui *
ui_edit_face|Clique para mudar a rosto
ui_statistics|Estatística
ui_next|Próximo
ui_prev|anterior
ui_learn|Aprender
ui_question_saving_policy|Qual será a a política de backups?
ui_saving_policy_realistic|Realista! Você não poderá sair sem salvar!
ui_saving_policy_nonrealistic|Eu quero poder sair sem salvar.
ui_tutorial_character_generation|Agora digite seu nome e em seguida distribuir os seus pontos de atributo, habilidade e maestria. Clique sobre os vários elementos da tela para saber o impacto destas sobre o seu personagem.
ui_str|FOR
ui_agi|AGI
ui_int|INT
ui_cha|CAR
ui_at_learning_limit|(Limite de realização de aprendizagem)
ui_not_enough_skill_points_to_learn|(Não é o suficiente pontos de habilidade para aprender)
ui_strength|Força
ui_agility|Agilidade
ui_intelligence|Inteligência
ui_charisma|Carisma
ui_not_enough_attributetype_to_learn_this_skill|(%s demasiado pequeno para aprender esta habilidade)
ui_explanation_one_handed_weapon|Aplica-se ao uso de espadas, machados e armas sem corte.
ui_explanation_two_handed_weapon|Aplica-se ao uso de espadas em ambas as mãos, baquetas e bardiches.
ui_explanation_polearm|Aplica-se usar armas de pessoal, tais como lanças, lanças, paus, etc.
ui_explanation_archery|Aplica-se para a utilização de arcos.
ui_explanation_crossbow|Aplica-se ao uso de bestas.
ui_explanation_throwing|Aplica-se para a utilização de armas de projéteis, tais como lanças, flechas, pedras, etc.
ui_explanation_firearms|Aplica-se o uso de pistolas e espingardas.
ui_explanation_strength|Força: Cada ponto aumenta a saúde de 1. As habilidades a seguir não pode exceder a força de 1 / 3: Saúde de ferro, poder bater, jato de potência, tensão de alimentação.
ui_explanation_agility|Agilidade: Cada ponto dá cinco pontos de controle e aumenta a velocidade de armas de 0,5%. As habilidades a seguir não pode exceder a agilidade de 1 / 3: Fearless, Escudo, atletismo, equitação, escalada Archery, saques.
ui_explanation_intelligence|Inteligência: Cada ponto em inteligência dá um ponto de perícia extra imediata. As habilidades a seguir não pode ultrapassar a inteligência do 1 / 3: Mentor, Track, táticas, o conhecimento do terreno, em destaque, a Organização do inventário, Tratamento de Feridas, cirurgia, primeiros socorros, Engenharia, Persuasão.
ui_explanation_charisma|Carisma: Cada ponto aumenta o limite de tamanho de seu agrupamento 1. As habilidades a seguir não pode exceder o carisma de 1 / 3: Gestão de prisioneiros, Conceito de comando, pechinchar.
ui_level|Nível: %d
ui_xp|Experiência: %d
ui_next_level_at|Próximo nível: %d
ui_health_player|Saúde: %d/%d
ui_health|Saúde: %d
ui_attribute_points|Pontos de atributos: %d
ui_skill_points|Pontos de Perícia: %d
ui_weapon_points|Pontos de controle: %d
ui_mission_losses_none|Não.
ui_mission_losses_wounded|Feridos:
ui_mission_losses_killed|mortos:
ui_party_losses|%s :%d --- %d feridos morto em %d.
ui_casualties_sustained|Perdas:
ui_advantage_change|Alterar vantagem = %c%d
ui_overall_battle_casualties|Perda total da batalha:
ui_advantage_outnumbered|Está excedido em números.
ui_advantage_major_disadvantage|Está mais desfavorecidos.
ui_advantage_slight_disadvantage|Está um pouco desfavorecidos.
ui_advantage_balanced|A situação é equilibrada.
ui_advantage_fair_advantage|Você tem uma boa chance de vitória.
ui_advantage_greatly_favored|Suas chances de ganhar são muito elevados.
ui_tactical_advantage|Tática Avançada: %d (%s)
ui_order_group|Grupo de Ordem:
